Trip_ID,Entry_Time,Exit_Time,LTI_Mean,LTI_Max,Velocity_kmh,Rush_Hour,Weather,Travel_Time_Min
1,6:15,6:47,1,1,6.75,0,1,32
2,6:34,7:24,3,4,4.32,1,4,50
3,5:30,6:20,2,3,4.32,0,1,50
4,7:20,8:05,4,5,4.8,1,4,45
5,10:09,10:40,2,2,6.97,0,1,31
6,13:00,13:20,2,2,10.8,0,1,20
7,12:18,12:48,2,3,7.2,0,2,30
8,13:02,13:32,2,2,7.2,0,2,30
9,7:42,7:57,1,1,14.4,1,1,15
10,17:38,18:12,3,4,6.35,1,2,34
11,8:30,8:55,2,3,8.64,1,1,25
12,12:00,12:25,1,2,8.64,0,1,25
13,16:00,16:50,4,5,4.32,1,1,50
14,16:30,17:20,4,5,4.32,1,2,50
15,7:45,8:00,1,1,14.4,1,1,15
16,10:00,10:30,2,3,7.2,0,3,30
17,16:15,17:15,5,5,3.6,1,1,60
18,17:00,17:45,4,5,4.8,1,1,45
19,5:30,6:36,2,2,3.27,0,1,66
20,6:15,6:47,1,1,6.75,1,1,32
21,6:34,7:24,3,4,4.32,1,4,50
22,14:16,14:57,4,5,5.27,0,3,41
23,7:13,7:38,2,3,8.64,1,1,25
24,12:07,12:32,1,2,8.64,0,1,25
25,16:36,17:26,4,5,4.32,1,1,50
26,8:45,9:10,2,3,8.64,1,2,25
27,15:53,16:43,4,5,4.32,1,1,50
28,10:11,10:36,1,2,8.64,0,1,25
29,17:15,18:05,5,5,4.32,1,3,50
30,7:42,7:57,1,1,14.4,1,1,15
31,14:13,14:43,3,3,7.2,0,3,30
32,16:04,17:04,5,5,3.6,1,1,60
33,8:51,9:06,1,1,14.4,1,1,15
34,13:36,14:01,2,3,8.64,0,4,25
35,17:47,18:32,4,5,4.8,1,1,45
36,15:58,16:58,5,5,3.6,0,4,60
37,19:54,20:47,4,5,4.08,0,2,53
38,7:24,8:14,4,4,4.32,1,1,50
39,5:30,6:20,2,2,4.32,0,1,50
40,10:11,10:36,1,2,8.64,0,1,25
41,12:18,12:48,2,3,7.2,0,2,30
42,8:07,9:36,5,5,7.45,1,4,29
43,11:23,11:48,2,2,8.64,0,1,25
44,16:36,17:23,4,5,4.6,1,2,47
45,6:34,7:24,3,4,4.32,1,4,50
46,8:42,8:57,3,4,14.4,1,1,15
47,14:36,15:07,3,3,6.97,0,3,31
48,5:30,6:20,2,3,4.32,0,1,50
49,17:17,18:10,5,5,4.08,1,1,53
50,8:30,8:55,2,3,8.64,1,1,25
